Manuf,Vendor Part No,Description,List Price
Palo Alto Networks,PAN-VM-300-PERP-BASC-PREM-1YR,Palo Alto Networks Perpetual Bundle (Basic) for VM-Series that includes VM-300 and Premium Support,4300.0000
Palo Alto Networks,PAN-VM-300-PERP-BASC-PREM-1YR-R,"Palo Alto Networks Perpetual Bundle (Basic) for VM-Series that includes Premium Support, 1 year, Renewal",700.0000
Palo Alto Networks,PAN-VM-300-PERP-BASC-PREM-3YR,"Palo Alto Networks Perpetual Bundle (Basic) for VM-Series that includes VM-300 and Premium Support, 3 year",5300.0000
Palo Alto Networks,PAN-VM-300-PERP-BASC-PREM-3YR-R,"Palo Alto Networks Perpetual Bundle (Basic) for VM-Series that includes Premium Support, 3 year, Renewal",1700.0000
Palo Alto Networks,PAN-VM-300-PERP-BASC-PREM-5YR,"Palo Alto Networks Perpetual Bundle (Basic) for VM-Series that includes VM-300 and Premium Support, 5 year",6500.0000
Palo Alto Networks,PAN-VM-300-PERP-BASC-PREM-5YR-R,"Palo Alto Networks Perpetual Bundle (Basic) for VM-Series that includes Premium Support, 5 year, Renewal",2800.0000
Palo Alto Networks,PAN-VM-300-PERP-BASC-PREMUSG-1YR,Palo Alto Networks Perpetual Bundle (Basic) for VM-Series that includes VM-300 and US Government Premium Support,4400.0000
Palo Alto Networks,PAN-VM-300-PERP-BASC-PREMUSG-1YR-R,"Palo Alto Networks Perpetual Bundle (Basic) for VM-Series that includes US Government Premium Support, 1 year, Renewal",800.0000
Palo Alto Networks,PAN-VM-300-PERP-BASC-PREMUSG-3YR,"Palo Alto Networks Perpetual Bundle (Basic) for VM-Series that includes VM-300 and US Government Premium Support, 3 year",5600.0000
Palo Alto Networks,PAN-VM-300-PERP-BASC-PREMUSG-3YR-R,"Palo Alto Networks Perpetual Bundle (Basic) for VM-Series that includes US Government Premium Support, 3 year, Renewal",1900.0000
Palo Alto Networks,PAN-VM-300-PERP-BASC-PREMUSG-5YR,"Palo Alto Networks Perpetual Bundle (Basic) for VM-Series that includes VM-300 and US Government Premium Support, 5 year",6900.0000
